society_id,society_name,society_xd_id,language_glottocode,language_name,language_family,variable_id,EA015code,EA015code_label,focal_year,sub_case,comment
Ab13,Tswana,xd14,tswa1253,Tswana,Atlantic-Congo,EA015,2,"Segmented, no exogamy",1880,with special reference to the Kgatla (Bakxatla),
Ab6,Venda,xd29,vend1245,Venda,Atlantic-Congo,EA015,2,"Segmented, no exogamy",1900,,
Ac10,Chewa,xd34,chew1246,Chewa,Atlantic-Congo,EA015,2,"Segmented, no exogamy",1920,,
Ac13,Tonga,xd37,tong1321,Tonga (Nyasa),Atlantic-Congo,EA015,2,"Segmented, no exogamy",1950,,One lineage is predominant in each community
Ac4,Kuba,xd66,bush1247,Bushoong,Atlantic-Congo,EA015,2,"Segmented, no exogamy",1910,"with special reference to the Bushoong, the central subtribe",
Ac41,Makonde,xd68,mako1251,Makonde,Atlantic-Congo,EA015,2,"Segmented, no exogamy",1900,,
Ac42,Makua,xd69,makh1264,Makhuwa,Atlantic-Congo,EA015,2,"Segmented, no exogamy",1900,,
Ac7,Yao,xd73,yaoo1241,Yao,Atlantic-Congo,EA015,2,"Segmented, no exogamy",1920,,
Ad14,Luguru,xd81,lugu1238,Luguru,Atlantic-Congo,EA015,2,"Segmented, no exogamy",1930,Morogoro District,
Ad2,Nyoro,xd87,nyor1246,Nyoro,Atlantic-Congo,EA015,2,"Segmented, no exogamy",1950,,
Ad27,Kwere,xd95,kwer1261,Kwere,Atlantic-Congo,EA015,2,"Segmented, no exogamy",1880,,
Ad30,Digo,xd99,digo1243,Digo,Atlantic-Congo,EA015,2,"Segmented, no exogamy",1890,,
Ad31,Duruma,xd100,duru1249,Duruma,Atlantic-Congo,EA015,2,"Segmented, no exogamy",1910,,
Ad34,Kamba,xd103,kamb1297,Kamba (Kenya),Atlantic-Congo,EA015,2,"Segmented, no exogamy",1910,,
Ad39,Sonjo,xd108,temi1247,Temi,Atlantic-Congo,EA015,2,"Segmented, no exogamy",1950,,
Ad50,Kaguru,xd121,kagu1239,Kagulu,Atlantic-Congo,EA015,2,"Segmented, no exogamy",1900,with special reference to the Mountain Kaguru,
Ad51,Ngulu,xd122,ngul1246,Ngulu,Atlantic-Congo,EA015,2,"Segmented, no exogamy",1930,,
Ae10,Banyaruanda,xd128,kiny1244,Kinyarwanda,Atlantic-Congo,EA015,2,"Segmented, no exogamy",1910,,
Ae2,Kpe,xd138,mokp1239,Mokpwe,Atlantic-Congo,EA015,2,"Segmented, no exogamy",1950,,
Ae39,Ngombe,xd159,binj1250,Binja,Atlantic-Congo,EA015,2,"Segmented, no exogamy",1920,,
Ae41,Kota,xd162,ndas1238,Ndasa,Atlantic-Congo,EA015,2,"Segmented, no exogamy",1940,,
Ae44,Bubi,xd165,bube1242,Bube,Atlantic-Congo,EA015,2,"Segmented, no exogamy",1920,,
Ae45,Kundu,xd166,orok1266,Oroko,Atlantic-Congo,EA015,2,"Segmented, no exogamy",1900,,
Ae46,Mpongwe,xd167,myen1241,Myene,Atlantic-Congo,EA015,2,"Segmented, no exogamy",1870,,
Ae49,Bali Nyonga,xd170,mung1266,Mungaka,Atlantic-Congo,EA015,2,"Segmented, no exogamy",1900,,
Ae5,Bamileke,xd171,fefe1239,Fe'fe',Atlantic-Congo,EA015,2,"Segmented, no exogamy",1910,,
Ae50,Bamum,xd172,bamu1253,Bamun,Atlantic-Congo,EA015,2,"Segmented, no exogamy",1920,,
Ae52,Fungom,xd174,mmen1238,Mmen,Atlantic-Congo,EA015,2,"Segmented, no exogamy",1950,,
Ae54,Kom,xd176,komc1235,Kom (Cameroon),Atlantic-Congo,EA015,2,"Segmented, no exogamy",1950,,
Ae55,Ndob,xd177,band1349,Bandobo,Atlantic-Congo,EA015,2,"Segmented, no exogamy",1950,,
Ae56,Nsaw,xd178,lamn1239,Lamnso',Atlantic-Congo,EA015,2,"Segmented, no exogamy",1950,,
Ae57,Nsungli,xd179,limb1268,Limbum,Atlantic-Congo,EA015,2,"Segmented, no exogamy",1930,,
Ae8,Rundi,xd184,rund1242,Rundi,Atlantic-Congo,EA015,2,"Segmented, no exogamy",1910,,
Ae9,Fut,xd185,bafu1246,Bafut,Atlantic-Congo,EA015,2,"Segmented, no exogamy",1950,,
Af1,Fon,xd186,fonn1241,Fon,Atlantic-Congo,EA015,2,"Segmented, no exogamy",1890,City and environs of Abomey,
Af10,Igbo,xd187,nucl1417,Igbo,Atlantic-Congo,EA015,2,"Segmented, no exogamy",1930,,
Af12,Akyem,xd189,akye1239,Akyem Bosome,Atlantic-Congo,EA015,2,"Segmented, no exogamy",1930,with special reference to the Kwahu,
Af13,Ebira,xd190,ebir1243,Ebira,Atlantic-Congo,EA015,2,"Segmented, no exogamy",1920,,
Af15,Kpelle,xd192,libe1247,Liberia Kpelle,Mande,EA015,2,"Segmented, no exogamy",1920,,
Af17,Boki,xd194,boky1238,Bokyi,Atlantic-Congo,EA015,2,"Segmented, no exogamy",1900,,
Af18,Ekoi,xd195,ejag1239,Ejagham,Atlantic-Congo,EA015,2,"Segmented, no exogamy",1900,,
Af19,Efik,xd196,efik1245,Efik,Atlantic-Congo,EA015,2,"Segmented, no exogamy",1950,,
Af20,Ibibio,xd198,ibib1240,Ibibio,Atlantic-Congo,EA015,2,"Segmented, no exogamy",1910,,
Af22,Itsekiri,xd200,isek1239,Isekiri,Atlantic-Congo,EA015,2,"Segmented, no exogamy",1940,,
Af23,Afikpo,xd201,afik1238,Afikpo,Atlantic-Congo,EA015,2,"Segmented, no exogamy",1950,with special reference to the village of Mgbom,
Af24,Edo,xd202,bini1246,Bini,Atlantic-Congo,EA015,2,"Segmented, no exogamy",1900,,
Af25,Isoko,xd203,isok1239,Isoko,Atlantic-Congo,EA015,2,"Segmented, no exogamy",1930,,
Af26,Kukuruku,xd204,yekh1238,Yekhee,Atlantic-Congo,EA015,2,"Segmented, no exogamy",1900,with special reference to the Etsako,
Af28,Gbagyi,xd206,gbar1246,Gbari,Atlantic-Congo,EA015,2,"Segmented, no exogamy",1910,,
Af32,Egba,xd211,egba1238,Egba,Atlantic-Congo,EA015,2,"Segmented, no exogamy",1920,Abeouta Province and Benin,
Af33,Ekiti,xd212,ekit1244,Ekiti,Atlantic-Congo,EA015,2,"Segmented, no exogamy",1950,"Ekiti Division, Ondo Prov.",
Af34,Ife,xd213,ifee1241,Ifè,Atlantic-Congo,EA015,2,"Segmented, no exogamy",1930,"Ife Ilesha Division, Oyo Prov.",
Af35,Adangme,xd214,adan1247,Adangme,Atlantic-Congo,EA015,2,"Segmented, no exogamy",1940,with special reference to the Krobo,
Af36,Ewe,xd215,aguu1242,Agu (Ewe),Atlantic-Congo,EA015,2,"Segmented, no exogamy",1900,with special reference to the Glidyi,
Af37,Buem,xd216,siwu1238,Siwu,Atlantic-Congo,EA015,2,"Segmented, no exogamy",1900,with special reference to the Akpafu,
Af39,Anyi,xd218,anyi1245,Anyin,Atlantic-Congo,EA015,2,"Segmented, no exogamy",1900,with special reference to the Ndenie,
Af4,Yako,xd219,loka1252,Lokaa,Atlantic-Congo,EA015,2,"Segmented, no exogamy",1930,,
Af43,Ga,xd223,gaaa1244,Ga,Atlantic-Congo,EA015,2,"Segmented, no exogamy",1930,,
Af44,Alagya,xd224,alla1248,Alladian,Atlantic-Congo,EA015,2,"Segmented, no exogamy",1900,,
Af5,Mende,xd230,mend1266,Mende (Sierra Leone),Mande,EA015,2,"Segmented, no exogamy",1930,,
Af51,Gagu,xd232,gagu1242,Gban,Mande,EA015,2,"Segmented, no exogamy",1920,,
Af54,Gbande,xd235,band1352,Bandi,Mande,EA015,2,"Segmented, no exogamy",1930,,
Af55,Gola,xd236,gola1255,Gola,Atlantic-Congo,EA015,2,"Segmented, no exogamy",1950,,
Af56,Ngere,xd237,dann1241,Dan,Mande,EA015,2,"Segmented, no exogamy",1930,with special reference to the Gio of the Ivory Coast,
Af6,Oyo Yoruba,xd240,ilaa1245,Ila (Yoruba),Atlantic-Congo,EA015,2,"Segmented, no exogamy",1950,"Yoruba, with special reference to the Oyo",
Af8,Nupe,xd242,nupe1254,Nupe-Nupe-Tako,Atlantic-Congo,EA015,2,"Segmented, no exogamy",1930,,
Af9,Baule,xd243,baou1238,Baoulé,Atlantic-Congo,EA015,2,"Segmented, no exogamy",1900,,
Ag1,Bambara,xd244,bamb1269,Bambara,Mande,EA015,2,"Segmented, no exogamy",1920,Segou to Bamako on Niger River,
Ag14,Baga,xd249,mbul1258,Mbulungish,Atlantic-Congo,EA015,2,"Segmented, no exogamy",1950,,
