uuid,offense_present
0b2cf292-e93b-490c-96c8-adb04d55400f,0
0b3cde31-532f-45e2-adb9-dbc8f59ce155,0
0b5ca34c-5412-4222-81a7-72706612da0e,0
0b6c267b-1497-4cec-a714-552ccb503563,0
0b6f4157-6c08-4350-96a2-692e6bfa6fa9,0
0b70195b-738d-4cd1-96b2-08bace96a284,0
0b89b260-a1c9-4fee-86bb-fa5f0f119ff8,0
0b9352be-b8f8-444d-8139-c14d6fb13339,0
0ba8d90f-0d6a-4a1e-8568-856619d9e14e,0
0bacce1b-f8aa-45d6-99db-b4faccf11eac,0
0bd82c89-7840-4960-ab0a-1dabe46e1af9,0
0bdacfe4-d14a-4c33-9b3f-0c46954529c0,0
0be0b40b-c268-469b-afb1-65597274399d,0
0bed77fb-ac90-47f1-a9c7-f84eea95c05a,0
0bf6bf67-2588-4e01-bc43-0fba8de876c5,0
0c2a34da-f8e1-44bb-8b7e-cda17d15b865,0
0c2f3949-778e-42ef-8dc5-950c4915f5a4,0
0c337b15-def7-4eb9-8f65-d4485f60c250,0
0c3c9c60-3125-4682-bca3-1cdbee586bbf,0
0c401cf7-8462-46cc-8627-1d60541a515d,0
0c55ee65-2bb1-4260-85a5-18dd3180a657,0
0c8d9610-c716-4c03-aa9c-a705211afc32,0
0c90d5a3-4a4b-4898-95a0-b5246aacf08e,0
0c9af82f-74da-4522-959e-3f94ecddcbf2,0
0ca7c38e-d58e-4381-b86b-4f4e99aff824,0
0cb778b4-aa40-4f9a-aaa9-6c11bdfaaba2,0
0cb8a474-aa2d-4b5d-847a-962a8fa79fd0,0
0ccbbd65-7330-488e-b587-b6e2383c9776,0
0cce03e6-f033-46ea-ba4e-f29da38ab24f,0
0cce4789-891d-4ac4-9724-1c760ae26d35,0
0d0e2519-918e-4835-9258-7db5dafe4e2b,0
0d1d9953-646f-42a1-8146-eeee46287c97,0
0d21deec-cfdb-46fd-9c97-b7804c1d6f56,0
0d48be81-5261-4338-9f12-612a7d2ff50f,0
0d61d608-4d46-462f-87c8-1a853c20a23b,0
0da7ca61-49df-49a0-9cfe-31db2296654e,0
0dac66ed-8f11-49a8-ad13-01a72a4a274d,0
0dbae176-8623-4fd7-9a18-09e0016ed898,0
0dbdd6f5-616d-4166-9abf-1c606f78889d,0
0dd8c982-c744-4632-be5a-b1027eed5f3f,0
0de54e73-f667-47ff-b994-cb8022cdf4bf,0
0e10fdac-e98a-48d6-b340-df1d57137530,0
0e201fc1-cbc8-4496-8bc4-3fbb6989c0e0,0
0e272791-1163-4926-9817-703d0b02dd22,0
0e4b1836-33f1-438b-bc68-60bf7f18b989,0
0e52dc7f-c176-4937-87e6-d4b1375f6af1,0
0e64d01a-7fd1-42a4-a32f-b7b621afd2dd,0
0e75058a-bc27-4c07-9278-06b77a8c29f5,0
0ea27373-49ec-4233-af34-fda2285ccf5e,0
0ee2ce86-1c63-4e47-8237-d470faefd33f,0
0ee482b2-d7e7-41f6-8b33-7869a3525a57,0
0efffde6-b65b-4b09-a4c7-94da142be040,0
0f038a14-7229-47e0-af41-0a6ca0a3f3f0,0
0f2c111b-0971-4a47-96e6-d73890354003,0
